#2018-03-01
#17:27
#Balayage par: physique
#ScanTask Size: 6

#Échantillon: ; #Matériaux: Autres; 
#Fente d'entrée: 0,050mm; Fente de sortie: 1,000mm; #Température: 293,00°K; #Filtre Entrée: CGA 225; #Détecteur: Oriel 70680 with R928; 
#Taux de répétition laser : 4PPS; #Énergie Laser: 100,0mJ; #Pre-amplificateur: Aucun; #Réseaux: Oriel 33010FL01-080R (400nm); #Autres: avg 3; 

#Longueur d'ondes OR77200: 425,000000
#Sensitivity: 3 V; Vernier Mode: Off; Vernier Value: 50.000; Main Filter: No Filter; Filter Freq (Hz): 1000.000; Filter Mode: Manual;  Line Notch: Off; Reference: Internal; Reference Mode: F; Ref Phase (°): 0.000; Ref Freq (Hz): 0.000; Output Filter: 6dB; Time Constant: 100 ms; Dynamic Res.: Hi Stab; X Offset: Off; X Offset Val %: 0.000; Y Offset: Off; Y Offset Val %: 0.000; Expand: Off; Osc Amp. (mV rms): 2000.000; Int Osc (Hz): 0.000; Trigger Mode: Asynchronous; Input Mode: Voltage; Ovld Source: Y Channel; 

#OR77200.Long. Ondes(nm)       	EGG5210.Analog In 1(V)        
361E+0	-5.8680000000000003E+0
362E+0	-5.7896666666666663E+0
363E+0	-5.8773333333333335E+0
364E+0	-5.6413333333333338E+0
365E+0	-5.3996666666666666E+0
366E+0	-5.0289999999999999E+0
367E+0	-4.1600000000000001E+0
368E+0	-3.4670000000000001E+0
369E+0	-3.1576666666666666E+0
370E+0	-2.7753333333333332E+0
371E+0	-2.1076666666666668E+0
372E+0	-1.8136666666666668E+0
373E+0	-1.3580000000000001E+0
374E+0	-1.3433333333333333E+0
375E+0	-1.2110000000000001E+0
376E+0	-858.99999999999999E-3
377E+0	-626.3333333333333E-3
378E+0	-376.66666666666665E-3
379E+0	-483.33333333333334E-3
380E+0	-311E-3
381E+0	-277.66666666666667E-3
382E+0	-197.66666666666666E-3
383E+0	-19.999999999999997E-3
384E+0	-13.333333333333334E-3
385E+0	127.33333333333333E-3
386E+0	160E-3
387E+0	209.33333333333334E-3
388E+0	126.33333333333333E-3
389E+0	227.99999999999998E-3
390E+0	268.33333333333331E-3
391E+0	259.00000000000001E-3
392E+0	258.00000000000001E-3
393E+0	319.33333333333336E-3
394E+0	257.66666666666665E-3
395E+0	173.00000000000001E-3
396E+0	269.00000000000002E-3
397E+0	259.00000000000001E-3
398E+0	318.66666666666665E-3
