#2018-10-10
#18:12
#Balayage par: Administrateur
#ScanTask Size: 13,13


#Y Axis.Position(Units)        	X Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
500E+0	500E+0	12.550508544921875E+3	-6.0215889892578125E+3	-58.7147666015625E+3	60.342348644414611E+3
525E+0	500E+0	12.96339501953125E+3	-5.275975341796875E+3	-57.63268310546875E+3	59.307774079058268E+3
550E+0	500E+0	12.869185180664062E+3	-5.3918556518554687E+3	-57.77693359375E+3	59.43788774621192E+3
575E+0	500E+0	12.77106201171875E+3	-5.52135791015625E+3	-57.95933349609375E+3	59.605958174496321E+3
600E+0	500E+0	12.670661499023437E+3	-5.62807470703125E+3	-58.14436279296875E+3	59.774478846114478E+3
625E+0	500E+0	12.58668798828125E+3	-5.7052005004882812E+3	-58.29917529296875E+3	59.914675568576174E+3
650E+0	500E+0	12.556840576171875E+3	-5.7562809448242187E+3	-58.40571337890625E+3	60.016971021087709E+3
675E+0	500E+0	12.584525268554687E+3	-5.7766074829101562E+3	-58.4594697265625E+3	60.077029765553256E+3
700E+0	500E+0	12.63294921875E+3	-5.7766387939453125E+3	-58.4847138671875E+3	60.111755230548595E+3
725E+0	500E+0	12.709073974609375E+3	-5.7520013427734375E+3	-58.47599169921875E+3	60.11695399206048E+3
