#2018-10-10
#17:47
#Balayage par: Administrateur
#ScanTask Size: 9,9


#Y Axis.Position(Units)        	X Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
650E+0	525E+0	12.584072998046875E+3	-5.8846279907226562E+3	-58.68290380859375E+3	60.304820183681739E+3
675E+0	525E+0	12.632829711914062E+3	-5.9120966186523437E+3	-58.73343603515625E+3	60.366863805506291E+3
700E+0	525E+0	12.697178466796875E+3	-5.9136314086914062E+3	-58.7512666015625E+3	60.397857417964347E+3
500E+0	550E+0	12.696927368164062E+3	-5.9137754516601562E+3	-58.7523251953125E+3	60.398848899758625E+3
525E+0	550E+0	12.8051337890625E+3	-5.540189208984375E+3	-58.0846630859375E+3	59.73687048265263E+3
550E+0	550E+0	12.725189086914062E+3	-5.7078008422851562E+3	-58.30541943359375E+3	59.950244340166253E+3
575E+0	550E+0	12.665071411132812E+3	-5.8478565063476562E+3	-58.49160107421875E+3	60.132099430800532E+3
600E+0	550E+0	12.61397216796875E+3	-5.9410245361328125E+3	-58.660921875E+3	60.295209821949655E+3
625E+0	550E+0	12.581927368164062E+3	-6.0031770629882812E+3	-58.77589599609375E+3	60.406535470757939E+3
650E+0	550E+0	12.592114990234375E+3	-6.0478077392578125E+3	-58.866310546875E+3	60.501077542510953E+3
675E+0	550E+0	12.65359521484375E+3	-6.0720364379882812E+3	-58.9166552734375E+3	60.565302477755344E+3
700E+0	550E+0	12.732367797851562E+3	-6.0733030395507812E+3	-58.92670556640625E+3	60.591710911562928E+3
500E+0	575E+0	12.736920288085937E+3	-6.0749816284179687E+3	-58.93182470703125E+3	60.597813831527397E+3
525E+0	575E+0	12.705857788085937E+3	-5.6774783935546875E+3	-58.24948486328125E+3	59.888860333472665E+3
550E+0	575E+0	12.654162841796875E+3	-5.8596032104492187E+3	-58.45966259765625E+3	60.099879145219616E+3
575E+0	575E+0	12.618316772460937E+3	-6.0067415161132812E+3	-58.64402392578125E+3	60.286191773077749E+3
600E+0	575E+0	12.579813354492187E+3	-6.1287802124023437E+3	-58.82460302734375E+3	60.466089395530551E+3
625E+0	575E+0	12.562199829101562E+3	-6.2055537719726562E+3	-58.94910400390625E+3	60.591378901198106E+3
650E+0	575E+0	12.588949462890625E+3	-6.2523121948242187E+3	-59.034720703125E+3	60.685021273615348E+3
675E+0	575E+0	12.672732177734375E+3	-6.2824404296875E+3	-59.078751953125E+3	60.748387023094692E+3
700E+0	575E+0	12.668683227539062E+3	-6.2827432250976562E+3	-59.08390771484375E+3	60.752589302204804E+3
500E+0	600E+0	12.768712158203125E+3	-6.285215576171875E+3	-59.09079541015625E+3	60.780477439716305E+3
525E+0	600E+0	12.591241088867187E+3	-5.88216796875E+3	-58.4157705078125E+3	60.04616570087742E+3
550E+0	600E+0	12.565953125E+3	-6.0767618408203125E+3	-58.6376611328125E+3	60.276082487305968E+3
575E+0	600E+0	12.551527709960937E+3	-6.2316383666992187E+3	-58.8323564453125E+3	60.478267028835813E+3
600E+0	600E+0	12.532121215820312E+3	-6.341732177734375E+3	-58.9849462890625E+3	60.634115344776554E+3
625E+0	600E+0	12.5359453125E+3	-6.4122496948242187E+3	-59.097744140625E+3	60.752042758751035E+3
650E+0	600E+0	12.57845654296875E+3	-6.4622138061523437E+3	-59.18363134765625E+3	60.849653675883201E+3
675E+0	600E+0	12.678712890625E+3	-6.4947017822265625E+3	-59.22850390625E+3	60.917543195730825E+3
700E+0	600E+0	12.679272827148437E+3	-6.4959788818359375E+3	-59.229484375E+3	60.918749175514546E+3
500E+0	625E+0	12.783115844726562E+3	-6.4959654541015625E+3	-59.23377294921875E+3	60.944614653039265E+3
525E+0	625E+0	12.475804809570312E+3	-6.1159130859375E+3	-58.58940625E+3	60.214359657447952E+3
550E+0	625E+0	12.47281201171875E+3	-6.3155382690429687E+3	-58.80438818359375E+3	60.443474968862938E+3
575E+0	625E+0	12.482375E+3	-6.4634144287109375E+3	-58.99406298828125E+3	60.645571751858944E+3
600E+0	625E+0	12.48048583984375E+3	-6.56431103515625E+3	-59.12384765625E+3	60.782254312884732E+3
625E+0	625E+0	12.50862451171875E+3	-6.6408131103515625E+3	-59.23897216796875E+3	60.908310885556682E+3
650E+0	625E+0	12.574302734375E+3	-6.7028760986328125E+3	-59.32321337890625E+3	61.010538805368669E+3
675E+0	625E+0	12.571394165039062E+3	-6.7026909790039062E+3	-59.32314208984375E+3	61.009849926839583E+3
700E+0	625E+0	12.692764526367187E+3	-6.7306394653320312E+3	-59.36500341796875E+3	61.078735777536232E+3
500E+0	650E+0	12.770064086914062E+3	-6.7360166015625E+3	-59.37248046875E+3	61.102703324176109E+3
525E+0	650E+0	12.356828247070312E+3	-6.3712362670898437E+3	-58.75926708984375E+3	60.381585811686578E+3
550E+0	650E+0	12.376822265625E+3	-6.563471923828125E+3	-58.959005859375E+3	60.60057555694523E+3
575E+0	650E+0	12.407302734375E+3	-6.6922330322265625E+3	-59.119892578125E+3	60.777375072612631E+3
600E+0	650E+0	12.431695190429687E+3	-6.80440283203125E+3	-59.24479345703125E+3	60.916279881384791E+3
625E+0	650E+0	12.471795776367187E+3	-6.8819597778320312E+3	-59.3567548828125E+3	61.042050381324465E+3
650E+0	650E+0	12.468593505859375E+3	-6.8814940185546875E+3	-59.3535732421875E+3	61.038249561759498E+3
675E+0	650E+0	12.562493896484375E+3	-6.9519554443359375E+3	-59.44288525390625E+3	61.152294248091166E+3
700E+0	650E+0	12.750950317382812E+3	-6.985291259765625E+3	-59.47992919921875E+3	61.231067101413631E+3
500E+0	675E+0	12.737439453125E+3	-6.983560302734375E+3	-59.4823779296875E+3	61.230436598144959E+3
525E+0	675E+0	12.234685180664062E+3	-6.6478431396484375E+3	-58.90846240234375E+3	60.531716581635243E+3
550E+0	675E+0	12.2769677734375E+3	-6.8081658325195312E+3	-59.0696533203125E+3	60.714903358143078E+3
575E+0	675E+0	12.324905883789062E+3	-6.9417301025390625E+3	-59.2223720703125E+3	60.88826402049978E+3
600E+0	675E+0	12.366179077148437E+3	-7.0541990966796875E+3	-59.34851904296875E+3	61.032214662701161E+3
625E+0	675E+0	12.368320068359375E+3	-7.0577636108398437E+3	-59.35697412109375E+3	61.041282557202117E+3
650E+0	675E+0	12.433868774414062E+3	-7.143796142578125E+3	-59.4611376953125E+3	61.165858622818829E+3
675E+0	675E+0	12.564997314453125E+3	-7.21835205078125E+3	-59.5535166015625E+3	61.29115565943651E+3
700E+0	675E+0	12.783117919921875E+3	-7.2501673583984375E+3	-59.582828125E+3	61.368454865776985E+3
500E+0	700E+0	12.713253784179687E+3	-7.2478529052734375E+3	-59.5780830078125E+3	61.349055087103035E+3
525E+0	700E+0	12.11003369140625E+3	-6.9001602172851562E+3	-59.00525732421875E+3	60.629085033395953E+3
550E+0	700E+0	12.168771606445312E+3	-7.055653076171875E+3	-59.1604296875E+3	60.809688138412268E+3
575E+0	700E+0	12.2355439453125E+3	-7.1955834350585937E+3	-59.30816748046875E+3	60.98314656504264E+3
600E+0	700E+0	12.235439331054687E+3	-7.1936715698242187E+3	-59.30430712890625E+3	60.979145154185477E+3
625E+0	700E+0	12.299353881835937E+3	-7.3105161743164062E+3	-59.4332919921875E+3	61.131289522527317E+3
650E+0	700E+0	12.404836059570312E+3	-7.4226329345703125E+3	-59.55773583984375E+3	61.287027621412868E+3
675E+0	700E+0	12.636191284179687E+3	-7.5072275390625E+3	-59.651279296875E+3	61.435394016292797E+3
700E+0	700E+0	12.881983276367187E+3	-7.52638916015625E+3	-59.651474609375E+3	61.488949830167847E+3
