#2018-10-10
#17:47
#Balayage par: Administrateur
#ScanTask Size: 9,9


#Y Axis.Position(Units)        	X Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
500E+0	500E+0	14.481340209960937E+3	-8.4808758544921875E+3	-59.40043408203125E+3	61.725576114735049E+3
525E+0	500E+0	12.98815087890625E+3	-5.2686666259765625E+3	-57.70981103515625E+3	59.387486895367212E+3
550E+0	500E+0	12.87418310546875E+3	-5.4155341186523437E+3	-57.8881591796875E+3	59.549239915509141E+3
575E+0	500E+0	12.773213500976562E+3	-5.5355667114257812E+3	-58.08411962890625E+3	59.72907979255676E+3
600E+0	500E+0	12.668701904296875E+3	-5.64081396484375E+3	-58.260623046875E+3	59.888358693828937E+3
625E+0	500E+0	12.60311181640625E+3	-5.704731201171875E+3	-58.388341796875E+3	60.004846165790746E+3
650E+0	500E+0	12.580929077148437E+3	-5.7443203125E+3	-58.48381103515625E+3	60.096868117545819E+3
675E+0	500E+0	12.612847412109375E+3	-5.766548828125E+3	-58.540943359375E+3	60.161279512826957E+3
700E+0	500E+0	12.663541625976562E+3	-5.7651433715820312E+3	-58.5715888671875E+3	60.201608620934399E+3
500E+0	525E+0	12.659439331054687E+3	-5.7672184448242187E+3	-58.56369189453125E+3	60.193260034879495E+3
525E+0	525E+0	12.901291137695312E+3	-5.3909885864257812E+3	-57.9117314453125E+3	59.575793622596393E+3
550E+0	525E+0	12.8100615234375E+3	-5.5348464965820312E+3	-58.1118759765625E+3	59.763892632787203E+3
575E+0	525E+0	12.727424194335937E+3	-5.6682691650390625E+3	-58.3000927734375E+3	59.941788347951347E+3
600E+0	525E+0	12.648813354492187E+3	-5.773851806640625E+3	-58.47767724609375E+3	60.107978328474121E+3
625E+0	525E+0	12.596760009765625E+3	-5.84605810546875E+3	-58.59945361328125E+3	60.222513521466768E+3
