#2018-02-14
#18:07
#Balayage par: physique
#ScanTask Size: 61

#Échantillon: ; #Matériaux: AlGaAs; 
#Fente d'entrée: 0,000mm; #Fente de sortie: 0,000mm; #Hauteur fente d'entrée: 2 cm; 
#Température: 1000,00°K; #Filtre Entrée: Aucun; #Détecteur: PM Hamamatsu R9268; 
#Source d'excitation: HeCd 325nm; #Puissance Laser: 1000,00mW; #Pre-amplificateur: Aucun; #Réseaux: 250nm; #Autres: ; 

#Longueur d'ondes OR77200: 352,000000
#Sensitivity: 3 V; Vernier Mode: Off; Vernier Value: 50.000; Main Filter: No Filter; Filter Freq (Hz): 1000.000; Filter Mode: Manual;  Line Notch: Off; Reference: Internal; Reference Mode: F; Ref Phase (°): 0.000; Ref Freq (Hz): 921.020; Output Filter: 6dB; Time Constant: 100 ms; Dynamic Res.: Hi Stab; X Offset: Off; X Offset Val %: 0.000; Y Offset: Off; Y Offset Val %: 0.000; Expand: Off; Int Osc (Vrms): 0.100; Int Osc (Hz): 1000.000; Trigger Mode: Asynchronous; Input Mode: Voltage; Ovld Source: Y Channel; 

#OR77200.Long. Ondes(nm)       	EGG5210.Analog In 1(V)        
340E+0	1,1539999999999999E+0
341E+0	1,012E+0
342E+0	1,0409999999999999E+0
343E+0	752E-3
344E+0	456,00000000000002E-3
345E+0	613,99999999999999E-3
346E+0	-2,7999999999999998E+0
347E+0	-2,7909999999999999E+0
348E+0	-4,3959999999999999E+0
349E+0	-6,4480000000000004E+0
350E+0	-879E-3
351E+0	368,99999999999999E-3
352E+0	571,99999999999995E-3
353E+0	663,00000000000003E-3
354E+0	1,0069999999999999E+0
355E+0	999E-3
356E+0	1,103E+0
357E+0	1,0629999999999999E+0
358E+0	905,00000000000003E-3
359E+0	918,00000000000004E-3
360E+0	1,01E+0
361E+0	943,99999999999995E-3
362E+0	1,079E+0
363E+0	1,1719999999999999E+0
364E+0	1,0640000000000001E+0
365E+0	1,1080000000000001E+0
366E+0	1,113E+0
367E+0	1,1120000000000001E+0
368E+0	1,1479999999999999E+0
369E+0	1,151E+0
370E+0	1,101E+0
371E+0	1,1839999999999999E+0
372E+0	1,0720000000000001E+0
373E+0	1,1559999999999999E+0
374E+0	1,151E+0
375E+0	1,1459999999999999E+0
376E+0	1,1439999999999999E+0
377E+0	1,1759999999999999E+0
378E+0	1,161E+0
379E+0	1,1910000000000001E+0
380E+0	1,151E+0
381E+0	1,169E+0
382E+0	1,171E+0
383E+0	1,1639999999999999E+0
384E+0	1,177E+0
385E+0	1,169E+0
386E+0	1,169E+0
387E+0	1,1779999999999999E+0
388E+0	1,1839999999999999E+0
389E+0	1,1759999999999999E+0
390E+0	1,1699999999999999E+0
391E+0	1,1759999999999999E+0
392E+0	1,1359999999999999E+0
393E+0	1,1539999999999999E+0
394E+0	1,1910000000000001E+0
395E+0	1,179E+0
396E+0	1,139E+0
397E+0	1,1679999999999999E+0
398E+0	1,1459999999999999E+0
399E+0	1,157E+0
400E+0	1,1659999999999999E+0
