#2018-10-10
#16:59
#Balayage par: Administrateur
#ScanTask Size: 5,5


#Y Axis.Position(Units)        	X Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
500E+0	500E+0	13.429094604492187E+3	-4.4322149353027344E+3	-55.94207568359375E+3	57.701833458883302E+3
550E+0	500E+0	13.001256958007812E+3	-5.2237217407226562E+3	-57.63608837890625E+3	59.314747271597785E+3
600E+0	500E+0	12.733546630859375E+3	-5.5372864990234375E+3	-58.107703125E+3	59.743706463303628E+3
650E+0	500E+0	12.595524536132812E+3	-5.6822859497070312E+3	-58.3727626953125E+3	59.985960977854738E+3
700E+0	500E+0	12.66050341796875E+3	-5.7123990478515625E+3	-58.47890966796875E+3	60.105767834123631E+3
500E+0	550E+0	12.674933959960937E+3	-5.7147427978515625E+3	-58.4821083984375E+3	60.112143616009314E+3
550E+0	550E+0	12.825614990234375E+3	-5.4750132446289062E+3	-58.024982421875E+3	59.677226777914657E+3
600E+0	550E+0	12.65208935546875E+3	-5.8391187133789062E+3	-58.49980224609375E+3	60.136496288758091E+3
650E+0	550E+0	12.591383544921875E+3	-5.9957276000976562E+3	-58.76635302734375E+3	60.398481752320455E+3
700E+0	550E+0	12.720848266601562E+3	-6.0346563720703125E+3	-58.8630625E+3	60.52353102950345E+3
500E+0	600E+0	12.62436962890625E+3	-6.0243443603515625E+3	-58.830181640625E+3	60.470310619518022E+3
550E+0	600E+0	12.576255737304687E+3	-5.9900839233398437E+3	-58.53413916015625E+3	60.168841851423582E+3
600E+0	600E+0	12.571530029296875E+3	-6.0826723022460937E+3	-58.64342578125E+3	60.28344852522343E+3
650E+0	600E+0	12.534206298828125E+3	-6.2819222412109375E+3	-58.926783203125E+3	60.571735896102662E+3
700E+0	600E+0	12.724227783203125E+3	-6.44735302734375E+3	-59.1734619140625E+3	60.868493996340876E+3
500E+0	650E+0	12.610427978515625E+3	-6.4255073852539062E+3	-59.1433466796875E+3	60.813207370903663E+3
550E+0	650E+0	12.370291137695312E+3	-6.4112815551757812E+3	-58.78857568359375E+3	60.417101032912447E+3
600E+0	650E+0	12.4318896484375E+3	-6.7171736450195312E+3	-59.15170849609375E+3	60.816096468157128E+3
650E+0	650E+0	12.435875366210937E+3	-6.7521361694335937E+3	-59.19394140625E+3	60.86185598258474E+3
700E+0	650E+0	12.568201416015625E+3	-6.8939102172851562E+3	-59.38576025390625E+3	61.091363351720589E+3
500E+0	700E+0	12.859484741210937E+3	-6.934072021484375E+3	-59.425732421875E+3	61.195310883965547E+3
550E+0	700E+0	12.125080322265625E+3	-6.8721618041992187E+3	-58.97380615234375E+3	60.598306365719974E+3
600E+0	700E+0	12.285208251953125E+3	-7.2256156005859375E+3	-59.3379443359375E+3	61.025634996550419E+3
650E+0	700E+0	12.4559912109375E+3	-7.3962655029296875E+3	-59.536748046875E+3	61.273822151510059E+3
700E+0	700E+0	12.806847900390625E+3	-7.4726181030273437E+3	-59.6004677734375E+3	61.417194671088713E+3
