#2018-10-10
#17:01
#Balayage par: Administrateur
#ScanTask Size: 5,5


#Y Axis.Position(Units)        	X Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
500E+0	500E+0	12.902532836914062E+3	-7.4806566162109375E+3	-59.61375732421875E+3	61.451086983238914E+3
550E+0	500E+0	13.006595703125E+3	-5.202422607421875E+3	-57.6455595703125E+3	59.323247902230549E+3
600E+0	500E+0	12.687921508789062E+3	-5.5752743530273437E+3	-58.226509765625E+3	59.853103418737322E+3
650E+0	500E+0	12.599458618164062E+3	-5.6785979614257812E+3	-58.4340751953125E+3	60.046104440796727E+3
700E+0	500E+0	12.605478271484375E+3	-5.6769083251953125E+3	-58.43268017578125E+3	60.045849584031421E+3
500E+0	550E+0	12.603940185546875E+3	-5.6692416381835937E+3	-58.4188388671875E+3	60.031333165200602E+3
550E+0	550E+0	12.712780517578125E+3	-5.6954482421875E+3	-58.34052783203125E+3	59.980585077258925E+3
600E+0	550E+0	12.6271484375E+3	-5.8834874877929687E+3	-58.63548876953125E+3	60.267582259650961E+3
650E+0	550E+0	12.605683959960937E+3	-5.9968724365234375E+3	-58.8339990234375E+3	60.467395253911214E+3
700E+0	550E+0	12.749302856445312E+3	-6.0236753540039062E+3	-58.89903271484375E+3	60.563405405294405E+3
500E+0	600E+0	12.592557373046875E+3	-5.9734232788085937E+3	-58.79209521484375E+3	60.421562751486308E+3
550E+0	600E+0	12.57840087890625E+3	-6.0694348754882812E+3	-58.67644140625E+3	60.315665255171865E+3
600E+0	600E+0	12.553440551757812E+3	-6.279647705078125E+3	-58.9604248046875E+3	60.608209949841752E+3
650E+0	600E+0	12.605029174804687E+3	-6.4087666015625E+3	-59.16264599609375E+3	60.82909099314965E+3
700E+0	600E+0	12.819041259765625E+3	-6.4391173706054687E+3	-59.2097802734375E+3	60.922809355464844E+3
500E+0	650E+0	12.568325439453125E+3	-6.3830392456054687E+3	-59.1172275390625E+3	60.77460894782003E+3
550E+0	650E+0	12.39648583984375E+3	-6.5050366821289062E+3	-58.93137890625E+3	60.571415276299674E+3
600E+0	650E+0	12.4017275390625E+3	-6.518039794921875E+3	-58.9472939453125E+3	60.589369161824194E+3
650E+0	650E+0	12.570906494140625E+3	-6.8880930786132812E+3	-59.41075390625E+3	61.115561385502777E+3
700E+0	650E+0	12.8737041015625E+3	-6.9325230102539062E+3	-59.45831396484375E+3	61.229762903003626E+3
500E+0	700E+0	12.53455810546875E+3	-6.8671718139648437E+3	-59.3809482421875E+3	61.076762172139955E+3
550E+0	700E+0	12.179931762695312E+3	-6.9820662231445312E+3	-59.1249609375E+3	60.768919765051782E+3
600E+0	700E+0	12.321089965820312E+3	-7.2555079956054687E+3	-59.41898291015625E+3	61.115199905880057E+3
650E+0	700E+0	12.531496826171875E+3	-7.41517333984375E+3	-59.60245751953125E+3	61.355331410583072E+3
700E+0	700E+0	12.908125732421875E+3	-7.4687490844726562E+3	-59.62948876953125E+3	61.466076232330168E+3
