#2018-03-01
#15:54
#Balayage par: physique
#ScanTask Size: 301

#Échantillon: ; #Matériaux: GaN; 
#Fente d'entrée: 2,000mm; Fente de sortie: 3,000mm; #Température: 293,00°K; #Filtre Entrée: CGA 225; #Détecteur: Oriel 70680 with R928; 
#Taux de répétition laser : 3PPS; #Énergie Laser: 100,0mJ; #Pre-amplificateur: Aucun; #Réseaux: Oriel 33010FL01-080R (400nm); #Autres: avg 3; 

#Longueur d'ondes OR77200: 200,000000
#Sensitivity: 3 V; Vernier Mode: Off; Vernier Value: 50.000; Main Filter: No Filter; Filter Freq (Hz): 1000.000; Filter Mode: Manual;  Line Notch: Off; Reference: Internal; Reference Mode: F; Ref Phase (°): 0.000; Ref Freq (Hz): 2.918; Output Filter: 6dB; Time Constant: 100 ms; Dynamic Res.: Hi Stab; X Offset: Off; X Offset Val %: 0.000; Y Offset: Off; Y Offset Val %: 0.000; Expand: Off; Osc Amp. (mV rms): 2000.000; Int Osc (Hz): 3.000; Trigger Mode: Asynchronous; Input Mode: Voltage; Ovld Source: Y Channel; 

#OR77200.Long. Ondes(nm)       	EGG5210.Analog In 1(V)        
347E+0	-4,7703333333333333E+0
348E+0	-5,2886666666666668E+0
349E+0	-5,0069999999999997E+0
350E+0	-5,3403333333333336E+0
351E+0	-5,6956666666666669E+0
352E+0	-5,9186666666666667E+0
353E+0	-5,6983333333333332E+0
354E+0	-6,4523333333333328E+0
355E+0	-6,3949999999999996E+0
356E+0	-6,548E+0
357E+0	-6,5863333333333331E+0
358E+0	-6,5800000000000001E+0
359E+0	-6,5869999999999997E+0
360E+0	-6,5883333333333338E+0
361E+0	-6,5883333333333338E+0
362E+0	-6,5876666666666663E+0
363E+0	-6,5869999999999997E+0
364E+0	-6,5883333333333338E+0
365E+0	-6,5880000000000001E+0
366E+0	-6,5869999999999997E+0
367E+0	-6,4703333333333335E+0
368E+0	-6,5706666666666669E+0
369E+0	-6,5873333333333335E+0
370E+0	-6,5860000000000003E+0
371E+0	-6,1276666666666664E+0
372E+0	-6,2303333333333333E+0
373E+0	-5,4866666666666664E+0
374E+0	-4,9610000000000003E+0
375E+0	-4,1550000000000002E+0
376E+0	-2,9626666666666668E+0
377E+0	-2,9103333333333334E+0
378E+0	-2,331E+0
379E+0	-1,8983333333333334E+0
380E+0	-2,0296666666666665E+0
381E+0	-2,0670000000000002E+0
382E+0	-1,7496666666666667E+0
383E+0	-1,3486666666666667E+0
384E+0	-1,167E+0
385E+0	-1,0349999999999999E+0
386E+0	-986,33333333333328E-3
387E+0	-879,66666666666671E-3
388E+0	-805,99999999999994E-3
389E+0	-683,66666666666664E-3
390E+0	-680,66666666666664E-3
391E+0	-502,66666666666671E-3
392E+0	-659,00000000000003E-3
393E+0	-697,33333333333336E-3
394E+0	-700,99999999999996E-3
395E+0	-584,33333333333326E-3
396E+0	-552,66666666666664E-3
397E+0	-611,99999999999999E-3
398E+0	-605,99999999999998E-3
399E+0	-707,33333333333337E-3
400E+0	-585,33333333333326E-3
401E+0	-453,00000000000001E-3
402E+0	-374,66666666666665E-3
403E+0	-592,66666666666667E-3
404E+0	-518,00000000000002E-3
405E+0	-427,99999999999999E-3
406E+0	-571,66666666666666E-3
407E+0	-279,33333333333332E-3
408E+0	-446,3333333333333E-3
409E+0	-413,33333333333333E-3
410E+0	-349,33333333333333E-3
411E+0	-455,66666666666666E-3
412E+0	-462,66666666666667E-3
413E+0	-369,6666666666667E-3
414E+0	-414,33333333333333E-3
415E+0	-301,99999999999999E-3
416E+0	-370,33333333333335E-3
417E+0	-282,33333333333332E-3
418E+0	-321,66666666666666E-3
419E+0	-314,3333333333333E-3
420E+0	-383,00000000000001E-3
421E+0	-318,66666666666665E-3
422E+0	-323,00000000000001E-3
423E+0	-477,33333333333333E-3
424E+0	-457,33333333333331E-3
425E+0	-351,99999999999998E-3
426E+0	-215,66666666666667E-3
427E+0	-302,66666666666664E-3
428E+0	-352,99999999999998E-3
429E+0	-461,33333333333337E-3
430E+0	-420,33333333333334E-3
431E+0	-496,33333333333335E-3
432E+0	-351,99999999999998E-3
433E+0	-345,33333333333333E-3
434E+0	-386,33333333333336E-3
435E+0	-292,66666666666669E-3
436E+0	-265,66666666666666E-3
437E+0	-295,66666666666663E-3
438E+0	-142,66666666666666E-3
439E+0	-264,66666666666666E-3
440E+0	-461,66666666666667E-3
441E+0	-470,66666666666668E-3
442E+0	-414,66666666666668E-3
443E+0	-329,00000000000001E-3
444E+0	-171,33333333333334E-3
445E+0	-266,33333333333337E-3
446E+0	-193,33333333333333E-3
447E+0	-153,33333333333332E-3
448E+0	-255,66666666666665E-3
449E+0	-405,00000000000003E-3
450E+0	-239,99999999999999E-3
451E+0	-340,99999999999997E-3
452E+0	-320,66666666666666E-3
453E+0	-275,00000000000002E-3
454E+0	-278,66666666666667E-3
455E+0	-388,66666666666666E-3
456E+0	-297,66666666666669E-3
457E+0	-232,00000000000001E-3
458E+0	-236,99999999999999E-3
459E+0	-304,66666666666664E-3
460E+0	-326,66666666666666E-3
461E+0	-384,33333333333336E-3
462E+0	-220,66666666666668E-3
463E+0	-271,00000000000002E-3
464E+0	-295,66666666666669E-3
465E+0	-410,99999999999998E-3
466E+0	-188,33333333333335E-3
467E+0	-65,333333333333327E-3
468E+0	-295,99999999999999E-3
469E+0	-309E-3
470E+0	-303,99999999999999E-3
471E+0	-186,66666666666668E-3
472E+0	-127E-3
473E+0	-294,99999999999998E-3
474E+0	-222,33333333333333E-3
475E+0	-201,99999999999999E-3
476E+0	-219,66666666666668E-3
477E+0	-151,33333333333332E-3
478E+0	-203,00000000000001E-3
479E+0	-243,66666666666667E-3
480E+0	-182,66666666666667E-3
481E+0	-210,66666666666667E-3
482E+0	-126,66666666666668E-3
483E+0	-169,33333333333334E-3
484E+0	-342,33333333333332E-3
485E+0	-98,666666666666666E-3
486E+0	-201,33333333333334E-3
487E+0	-181,33333333333335E-3
488E+0	-215E-3
489E+0	-115,66666666666667E-3
490E+0	-262,00000000000001E-3
491E+0	-224,33333333333333E-3
492E+0	-256,00000000000001E-3
493E+0	-294,33333333333334E-3
494E+0	-285,33333333333333E-3
495E+0	-158,33333333333333E-3
496E+0	-112E-3
497E+0	-275,33333333333332E-3
498E+0	-368,66666666666664E-3
499E+0	-174,33333333333334E-3
500E+0	-358,66666666666669E-3
