#2018-03-01
#15:35
#Balayage par: physique
#ScanTask Size: 201

#Échantillon: ; #Matériaux: GaN; 
#Fente d'entrée: 3,000mm; Fente de sortie: 3,000mm; #Température: 293,00°K; #Filtre Entrée: Aucun; #Détecteur: Oriel 70680 with R928; 
#Taux de répétition laser : 3PPS; #Énergie Laser: 100,0mJ; #Pre-amplificateur: Aucun; #Réseaux: Oriel 33010FL01-080R (400nm); #Autres: avg 3; 

#Longueur d'ondes OR77200: 202,000000
#Sensitivity: 3 V; Vernier Mode: Off; Vernier Value: 50.000; Main Filter: No Filter; Filter Freq (Hz): 1000.000; Filter Mode: Manual;  Line Notch: Off; Reference: Internal; Reference Mode: F; Ref Phase (°): 0.000; Ref Freq (Hz): 2.918; Output Filter: 6dB; Time Constant: 100 ms; Dynamic Res.: Hi Stab; X Offset: Off; X Offset Val %: 0.000; Y Offset: Off; Y Offset Val %: 0.000; Expand: Off; Osc Amp. (mV rms): 2000.000; Int Osc (Hz): 3.000; Trigger Mode: Asynchronous; Input Mode: Voltage; Ovld Source: Y Channel; 

#OR77200.Long. Ondes(nm)       	EGG5210.Analog In 1(V)        
347E+0	-5,8620000000000001E+0
348E+0	-5,8603333333333332E+0
349E+0	-5,8840000000000003E+0
350E+0	-6,2266666666666666E+0
351E+0	-6,3163333333333336E+0
352E+0	-6,1666666666666661E+0
353E+0	-6,4569999999999998E+0
354E+0	-6,5383333333333331E+0
355E+0	-6,5750000000000002E+0
356E+0	-6,5876666666666663E+0
357E+0	-6,5883333333333329E+0
358E+0	-6,5886666666666667E+0
359E+0	-6,5869999999999997E+0
360E+0	-6,5880000000000001E+0
361E+0	-6,5869999999999997E+0
362E+0	-6,5880000000000001E+0
363E+0	-6,5890000000000004E+0
364E+0	-6,5880000000000001E+0
365E+0	-6,5873333333333335E+0
366E+0	-6,5880000000000001E+0
367E+0	-6,5876666666666663E+0
368E+0	-6,5883333333333338E+0
369E+0	-6,5890000000000004E+0
370E+0	-6,5876666666666663E+0
371E+0	-6,5413333333333332E+0
372E+0	-6,5583333333333336E+0
373E+0	-6,5703333333333331E+0
374E+0	-6,4256666666666664E+0
375E+0	-6,4656666666666664E+0
376E+0	-6,093E+0
377E+0	-5,8763333333333332E+0
378E+0	-4,9610000000000003E+0
379E+0	-4,6593333333333335E+0
380E+0	-3,6899999999999999E+0
381E+0	-3,6003333333333334E+0
382E+0	-3,6953333333333336E+0
383E+0	-3,4140000000000001E+0
384E+0	-2,5603333333333333E+0
385E+0	-2,6396666666666668E+0
386E+0	-2,1913333333333336E+0
387E+0	-2,2413333333333334E+0
388E+0	-2,3929999999999998E+0
389E+0	-2,1756666666666669E+0
390E+0	-1,8443333333333334E+0
391E+0	-1,9993333333333334E+0
392E+0	-1,5066666666666668E+0
393E+0	-1,6639999999999999E+0
394E+0	-1,7663333333333333E+0
395E+0	-1,6113333333333335E+0
396E+0	-1,6026666666666667E+0
397E+0	-1,4633333333333334E+0
398E+0	-1,5736666666666668E+0
399E+0	-1,492E+0
400E+0	-1,5493333333333335E+0
