#2018-10-12
#11:48
#Balayage par: Administrateur
#ScanTask Size: 201,2


#Y Axis.Position(Units)        	X Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
200E+0	650E+0	11.956182373046875E+3	-2.5098970947265625E+3	-55.99573779296875E+3	57.312954402942589E+3
205E+0	650E+0	11.95383251953125E+3	-2.5171769714355469E+3	-55.99892919921875E+3	57.315900721455247E+3
210E+0	650E+0	11.952006225585937E+3	-2.6266574096679687E+3	-56.04973876953125E+3	57.370072184067365E+3
215E+0	650E+0	11.942783813476562E+3	-2.7648179016113281E+3	-56.14251220703125E+3	57.465275178573531E+3
220E+0	650E+0	11.942629150390625E+3	-2.8531069641113281E+3	-56.1935390625E+3	57.519408522009588E+3
225E+0	650E+0	11.944066528320312E+3	-2.9452207641601562E+3	-56.2388525390625E+3	57.568618439372192E+3
230E+0	650E+0	11.944866821289062E+3	-3.0258382873535156E+3	-56.28657275390625E+3	57.619576730396431E+3
235E+0	650E+0	11.938984619140625E+3	-3.1034066467285156E+3	-56.33674951171875E+3	57.671497024065698E+3
240E+0	650E+0	11.94089794921875E+3	-3.1840054321289062E+3	-56.38491015625E+3	57.723330215269438E+3
245E+0	650E+0	11.941855224609375E+3	-3.2665290832519531E+3	-56.43218994140625E+3	57.774319076307467E+3
250E+0	650E+0	11.942646484375E+3	-3.2707376403808594E+3	-56.43386669921875E+3	57.776361154679063E+3
255E+0	650E+0	11.939923950195312E+3	-3.3633228454589844E+3	-56.4938046875E+3	57.839654567086618E+3
260E+0	650E+0	11.95716162109375E+3	-3.5039117736816406E+3	-56.57492431640625E+3	57.930781160725717E+3
265E+0	650E+0	11.9648388671875E+3	-3.5887373352050781E+3	-56.6358515625E+3	57.997053372981812E+3
270E+0	650E+0	11.9681142578125E+3	-3.6634082336425781E+3	-56.68802490234375E+3	58.053342206253001E+3
275E+0	650E+0	11.97690087890625E+3	-3.7392366943359375E+3	-56.73767578125E+3	58.108465383283445E+3
280E+0	650E+0	11.988739501953125E+3	-3.8260317687988281E+3	-56.78582177734375E+3	58.163562407431142E+3
285E+0	650E+0	11.995918334960937E+3	-3.90141650390625E+3	-56.83610107421875E+3	58.219133731554684E+3
290E+0	650E+0	11.995784545898437E+3	-3.9658768920898437E+3	-56.88954736328125E+3	58.275634659569689E+3
295E+0	650E+0	11.995728515625E+3	-3.9677212219238281E+3	-56.88841162109375E+3	58.274640695873379E+3
300E+0	650E+0	12.005914184570312E+3	-4.0474940185546875E+3	-56.94187255859375E+3	58.3344115263028E+3
305E+0	650E+0	12.021672485351562E+3	-4.1741787719726562E+3	-57.028904296875E+3	58.431521494859706E+3
310E+0	650E+0	12.030317138671875E+3	-4.2530869140625E+3	-57.0848486328125E+3	58.493582437876444E+3
315E+0	650E+0	12.051588134765625E+3	-4.3314662780761719E+3	-57.12060107421875E+3	58.53860007140709E+3
320E+0	650E+0	12.053939453125E+3	-4.4017798156738281E+3	-57.18008642578125E+3	58.602365770375167E+3
325E+0	650E+0	12.068598754882812E+3	-4.4642229309082031E+3	-57.22400732421875E+3	58.65295953391731E+3
330E+0	650E+0	12.079092163085937E+3	-4.5291922302246094E+3	-57.26909619140625E+3	58.704086015889654E+3
335E+0	650E+0	12.086970092773437E+3	-4.5962466125488281E+3	-57.3183974609375E+3	58.759011883790001E+3
340E+0	650E+0	12.093530517578125E+3	-4.6560792846679687E+3	-57.37042236328125E+3	58.81581185865061E+3
345E+0	650E+0	12.109827880859375E+3	-4.7300193481445312E+3	-57.4146904296875E+3	58.868238685194163E+3
350E+0	650E+0	12.117892944335937E+3	-4.7959970092773437E+3	-57.4629931640625E+3	58.922343393943156E+3
355E+0	650E+0	12.133272827148437E+3	-4.8572562255859375E+3	-57.50940087890625E+3	58.975780183858726E+3
360E+0	650E+0	12.133220947265625E+3	-4.8545355834960937E+3	-57.51216357421875E+3	58.978239425001921E+3
365E+0	650E+0	12.15314013671875E+3	-4.980560546875E+3	-57.60506298828125E+3	59.08341589203383E+3
370E+0	650E+0	12.153158203125E+3	-4.974279052734375E+3	-57.60669140625E+3	59.084480203298008E+3
375E+0	650E+0	12.164441162109375E+3	-5.0603673095703125E+3	-57.66638720703125E+3	59.152308674084677E+3
380E+0	650E+0	12.1852890625E+3	-5.1516586303710937E+3	-57.7383095703125E+3	59.234581811362252E+3
385E+0	650E+0	12.200740478515625E+3	-5.2128196411132812E+3	-57.78197998046875E+3	59.285673664426467E+3
390E+0	650E+0	12.206570068359375E+3	-5.2604920654296875E+3	-57.8279404296875E+3	59.335871956562289E+3
395E+0	650E+0	12.222224487304687E+3	-5.3191558837890625E+3	-57.87359228515625E+3	59.388812203559675E+3
400E+0	650E+0	12.228171752929687E+3	-5.3745023803710937E+3	-57.911515625E+3	59.431973254780787E+3
405E+0	650E+0	12.240826049804687E+3	-5.4283279418945312E+3	-57.9554697265625E+3	59.482290867557262E+3
410E+0	650E+0	12.247450561523437E+3	-5.4733819580078125E+3	-57.9996435546875E+3	59.530820582105844E+3
415E+0	650E+0	12.240047607421875E+3	-5.4669833374023437E+3	-58.00199853515625E+3	59.531005535449614E+3
420E+0	650E+0	12.262490844726562E+3	-5.5431814575195312E+3	-58.04675927734375E+3	59.586270646601093E+3
425E+0	650E+0	12.273168090820312E+3	-5.6190240478515625E+3	-58.123953125E+3	59.670761526584334E+3
430E+0	650E+0	12.292637329101562E+3	-5.68324072265625E+3	-58.1632431640625E+3	59.71911542142801E+3
435E+0	650E+0	12.304098266601562E+3	-5.7306047973632812E+3	-58.20332421875E+3	59.765035696538063E+3
440E+0	650E+0	12.3124267578125E+3	-5.7654098510742187E+3	-58.24094677734375E+3	59.806739626581824E+3
445E+0	650E+0	12.321427490234375E+3	-5.8109388427734375E+3	-58.28168896484375E+3	59.852669133775562E+3
450E+0	650E+0	12.327395141601562E+3	-5.8545629272460937E+3	-58.31547900390625E+3	59.891048998428356E+3
455E+0	650E+0	12.3356962890625E+3	-5.9018928833007812E+3	-58.35418017578125E+3	59.935084839938317E+3
460E+0	650E+0	12.337174194335937E+3	-5.898572998046875E+3	-58.3501982421875E+3	59.931188068607575E+3
465E+0	650E+0	12.337746826171875E+3	-5.9466863403320312E+3	-58.3906708984375E+3	59.97545900649143E+3
470E+0	650E+0	12.348170654296875E+3	-6.0170366821289062E+3	-58.44992041015625E+3	60.042293639900075E+3
475E+0	650E+0	12.360754760742187E+3	-6.0740370483398437E+3	-58.48721142578125E+3	60.086921245935751E+3
480E+0	650E+0	12.365523559570312E+3	-6.1057446899414062E+3	-58.5229931640625E+3	60.125947415022303E+3
485E+0	650E+0	12.370352416992187E+3	-6.144273681640625E+3	-58.55657666015625E+3	60.16354962396183E+3
490E+0	650E+0	12.380192138671875E+3	-6.1850081176757812E+3	-58.58599609375E+3	60.198375335761608E+3
495E+0	650E+0	12.379539672851562E+3	-6.2134549560546875E+3	-58.6203095703125E+3	60.234567666662078E+3
