#2018-10-10
#21:40
#Balayage par: Administrateur
#ScanTask Size: 61,2


#Y Axis.Position(Units)        	X Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
400E+0	600E+0	14.002095825195312E+3	-6.4884469604492187E+3	-55.0029013671875E+3	57.126860021146029E+3
405E+0	600E+0	12.961973388671875E+3	-5.2941790161132812E+3	-59.50488037109375E+3	61.129961472812851E+3
410E+0	600E+0	12.967730346679687E+3	-5.3387216186523437E+3	-59.5311884765625E+3	61.160664246172178E+3
415E+0	600E+0	12.970703857421875E+3	-5.3804491577148437E+3	-59.55283349609375E+3	61.186017751203595E+3
420E+0	600E+0	12.966716674804687E+3	-5.4281748046875E+3	-59.58332568359375E+3	61.219065245215861E+3
425E+0	600E+0	12.968340209960937E+3	-5.4266065063476562E+3	-59.57071435546875E+3	61.206995970706688E+3
430E+0	600E+0	12.968719848632812E+3	-5.4838216552734375E+3	-59.6088662109375E+3	61.249306042936121E+3
435E+0	600E+0	12.969859375E+3	-5.5595872192382812E+3	-59.66214111328125E+3	61.308220323000896E+3
440E+0	600E+0	12.971634643554687E+3	-5.6057791748046875E+3	-59.69175146484375E+3	61.341614895504157E+3
445E+0	600E+0	12.972204223632812E+3	-5.64373193359375E+3	-59.70936376953125E+3	61.362352483719405E+3
450E+0	600E+0	12.96479248046875E+3	-5.6768944091796875E+3	-59.7355283203125E+3	61.389304455591176E+3
455E+0	600E+0	12.962244018554687E+3	-5.7185430297851562E+3	-59.756041015625E+3	61.412590944147603E+3
460E+0	600E+0	12.957391357421875E+3	-5.7565031127929687E+3	-59.777130859375E+3	61.435633337223146E+3
465E+0	600E+0	12.95386865234375E+3	-5.7908353881835937E+3	-59.799138671875E+3	61.4595299944262E+3
470E+0	600E+0	12.951677978515625E+3	-5.7885411987304687E+3	-59.78640380859375E+3	61.446460664671475E+3
475E+0	600E+0	12.946940063476562E+3	-5.8346875E+3	-59.814181640625E+3	61.476854036294826E+3
480E+0	600E+0	12.94132958984375E+3	-5.897331787109375E+3	-59.86207763671875E+3	61.528246849407464E+3
485E+0	600E+0	12.941446655273437E+3	-5.9382724609375E+3	-59.88833642578125E+3	61.557755282922691E+3
490E+0	600E+0	12.93121728515625E+3	-5.966194091796875E+3	-59.9128212890625E+3	61.582127464805351E+3
495E+0	600E+0	12.93135546875E+3	-5.9980711059570312E+3	-59.9299912109375E+3	61.601955737984041E+3
500E+0	600E+0	12.9243173828125E+3	-6.0303137817382812E+3	-59.951853515625E+3	61.624895308023158E+3
505E+0	600E+0	12.921368408203125E+3	-6.0595985717773437E+3	-59.97060107421875E+3	61.645388057013697E+3
510E+0	600E+0	12.909587646484375E+3	-6.090231689453125E+3	-59.98721630859375E+3	61.66210219358054E+3
515E+0	600E+0	12.897754150390625E+3	-6.11973681640625E+3	-60.00589794921875E+3	61.680721504316192E+3
520E+0	600E+0	12.902442138671875E+3	-6.1178307495117187E+3	-59.9953984375E+3	61.671298340970949E+3
525E+0	600E+0	12.88733544921875E+3	-6.1566910400390625E+3	-60.02759814453125E+3	61.703332762638121E+3
530E+0	600E+0	12.876265625E+3	-6.2024508056640625E+3	-60.06960107421875E+3	61.746464483491625E+3
535E+0	600E+0	12.872020141601562E+3	-6.228820068359375E+3	-60.08712109375E+3	61.765278695783687E+3
540E+0	600E+0	12.867352905273437E+3	-6.251369384765625E+3	-60.11009375E+3	61.788932806376797E+3
545E+0	600E+0	12.859005126953125E+3	-6.2759487915039062E+3	-60.12864599609375E+3	61.807734844962397E+3
550E+0	600E+0	12.850512939453125E+3	-6.3002239379882812E+3	-60.1487939453125E+3	61.828037777495097E+3
555E+0	600E+0	12.845142456054687E+3	-6.3236469116210937E+3	-60.168232421875E+3	61.848224215907612E+3
560E+0	600E+0	12.841178100585937E+3	-6.3467009887695312E+3	-60.18792431640625E+3	61.868918194159589E+3
565E+0	600E+0	12.843833251953125E+3	-6.3418802490234375E+3	-60.17544140625E+3	61.856832105006113E+3
570E+0	600E+0	12.838550415039062E+3	-6.376055419921875E+3	-60.20571875E+3	61.888701603747271E+3
575E+0	600E+0	12.833803588867187E+3	-6.4059213256835937E+3	-60.238357421875E+3	61.922551728398474E+3
580E+0	600E+0	12.827205322265625E+3	-6.4337127685546875E+3	-60.2632900390625E+3	61.948319684037538E+3
585E+0	600E+0	12.816492309570312E+3	-6.447771240234375E+3	-60.28207666015625E+3	61.965839876942336E+3
590E+0	600E+0	12.81379541015625E+3	-6.464987548828125E+3	-60.294521484375E+3	61.979182504416538E+3
595E+0	600E+0	12.809639282226562E+3	-6.48656201171875E+3	-60.30863916015625E+3	61.994311722102488E+3
600E+0	600E+0	12.804995971679687E+3	-6.505003662109375E+3	-60.3237880859375E+3	62.010023186928127E+3
605E+0	600E+0	12.80137451171875E+3	-6.5201734619140625E+3	-60.336625E+3	62.023354919223173E+3
610E+0	600E+0	12.79857080078125E+3	-6.5166860961914062E+3	-60.3285009765625E+3	62.01450637812051E+3
615E+0	600E+0	12.791027465820312E+3	-6.5352957763671875E+3	-60.3474716796875E+3	62.033363433894803E+3
620E+0	600E+0	12.789673217773437E+3	-6.5567003784179687E+3	-60.37610888671875E+3	62.063201718044387E+3
625E+0	600E+0	12.797157348632812E+3	-6.5701828002929687E+3	-60.38584912109375E+3	62.0756457472158E+3
630E+0	600E+0	12.797609497070312E+3	-6.5783839111328125E+3	-60.39550537109375E+3	62.085999748314338E+3
635E+0	600E+0	12.805315673828125E+3	-6.59746533203125E+3	-60.4111669921875E+3	62.10484875472472E+3
640E+0	600E+0	12.806840942382812E+3	-6.6049963989257812E+3	-60.41811962890625E+3	62.112724893396174E+3
645E+0	600E+0	12.81889453125E+3	-6.6137125244140625E+3	-60.42148046875E+3	62.119408630444173E+3
650E+0	600E+0	12.825909301757812E+3	-6.6210821533203125E+3	-60.42716259765625E+3	62.127168446833755E+3
655E+0	600E+0	12.8463388671875E+3	-6.629374267578125E+3	-60.42376123046875E+3	62.12896495442609E+3
660E+0	600E+0	12.843642700195312E+3	-6.6280653686523437E+3	-60.422087890625E+3	62.126641042718089E+3
665E+0	600E+0	12.864264038085937E+3	-6.637891357421875E+3	-60.42425537109375E+3	62.134064317650474E+3
670E+0	600E+0	12.890610229492187E+3	-6.6417334594726562E+3	-60.427087890625E+3	62.142688831151274E+3
675E+0	600E+0	12.918581298828125E+3	-6.6450609741210937E+3	-60.4214423828125E+3	62.143363955077009E+3
680E+0	600E+0	12.9401630859375E+3	-6.6468771362304687E+3	-60.41502490234375E+3	62.141808909792096E+3
685E+0	600E+0	12.960652709960937E+3	-6.646349853515625E+3	-60.4117734375E+3	62.142862270752725E+3
690E+0	600E+0	12.980523681640625E+3	-6.6453963623046875E+3	-60.398466796875E+3	62.13397285861335E+3
695E+0	600E+0	13.004608276367187E+3	-6.6442490844726562E+3	-60.39431201171875E+3	62.134847557723347E+3
700E+0	600E+0	13.026963989257812E+3	-6.641523193359375E+3	-60.38082568359375E+3	62.126131267692654E+3
400E+0	601E+0	13.0210224609375E+3	-6.6411276245117187E+3	-60.37752685546875E+3	62.121637209771106E+3
