#2018-10-10
#16:51
#Balayage par: Administrateur
#ScanTask Size: 10,10


#X Axis.Position(Units)        	Y Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
10E+0	10E+0	16.8422646484375E+3	-5.6930916137695312E+3	-53.92081298828125E+3	56.776119149330356E+3
20E+0	10E+0	17.693990600585937E+3	-5.8268082885742187E+3	-54.01311376953125E+3	57.135329424496551E+3
30E+0	10E+0	17.687183715820312E+3	-5.8301643676757812E+3	-54.0165048828125E+3	57.136770001793746E+3
40E+0	10E+0	17.684432983398437E+3	-5.7138636474609375E+3	-54.3101923828125E+3	57.401958758863344E+3
50E+0	10E+0	17.6882431640625E+3	-5.6026868286132812E+3	-54.54977783203125E+3	57.618945409866326E+3
60E+0	10E+0	17.68660595703125E+3	-5.4834849853515625E+3	-54.76913671875E+3	57.814732670858335E+3
70E+0	10E+0	17.677982177734375E+3	-5.357490478515625E+3	-54.995380859375E+3	58.014706927539955E+3
80E+0	10E+0	17.661940673828125E+3	-5.218593017578125E+3	-55.21614892578125E+3	58.206540574017556E+3
90E+0	10E+0	17.647143798828125E+3	-5.073163330078125E+3	-55.40641845703125E+3	58.369772013972062E+3
100E+0	10E+0	17.627899658203125E+3	-4.9156343994140625E+3	-55.59457568359375E+3	58.52916967664002E+3
10E+0	20E+0	17.69805908203125E+3	-5.5910359497070312E+3	-54.568943359375E+3	57.638975124551427E+3
20E+0	20E+0	17.745200317382812E+3	-5.8248743896484375E+3	-53.835845703125E+3	56.983506455854025E+3
30E+0	20E+0	17.748877807617187E+3	-5.8272667846679687E+3	-53.83588427734375E+3	56.984933148681906E+3
40E+0	20E+0	17.75079833984375E+3	-5.717337890625E+3	-54.11160400390625E+3	57.234997117949875E+3
50E+0	20E+0	17.758016845703125E+3	-5.6114149169921875E+3	-54.350384765625E+3	57.452587042851242E+3
60E+0	20E+0	17.758025756835937E+3	-5.4958991088867187E+3	-54.56432861328125E+3	57.643896860335444E+3
70E+0	20E+0	17.749073852539062E+3	-5.37944970703125E+3	-54.789619140625E+3	57.843504117175435E+3
80E+0	20E+0	17.733941772460937E+3	-5.2471469116210937E+3	-55.00340673828125E+3	58.029306061157084E+3
90E+0	20E+0	17.718286010742187E+3	-5.0974306030273437E+3	-55.19658056640625E+3	58.19436775618876E+3
100E+0	20E+0	17.705397216796875E+3	-4.9481928100585937E+3	-55.3801005859375E+3	58.351707400213898E+3
10E+0	30E+0	17.748597900390625E+3	-5.6218240966796875E+3	-54.3403623046875E+3	57.44121851956952E+3
20E+0	30E+0	17.764757934570312E+3	-5.8274263305664062E+3	-53.65733056640625E+3	56.821255548290348E+3
30E+0	30E+0	17.77185595703125E+3	-5.83118359375E+3	-53.65223681640625E+3	56.819051217431101E+3
40E+0	30E+0	17.769194213867187E+3	-5.7218150634765625E+3	-53.92200830078125E+3	57.061955942105829E+3
50E+0	30E+0	17.78578759765625E+3	-5.617620361328125E+3	-54.1602666015625E+3	57.281993249656894E+3
60E+0	30E+0	17.792765869140625E+3	-5.5090679321289062E+3	-54.36590673828125E+3	57.46811783788765E+3
70E+0	30E+0	17.78744970703125E+3	-5.386007568359375E+3	-54.57905029296875E+3	57.656531919286855E+3
80E+0	30E+0	17.786021118164062E+3	-5.2575609130859375E+3	-54.7846337890625E+3	57.838922996990572E+3
90E+0	30E+0	17.7895673828125E+3	-5.1216304931640625E+3	-54.9674775390625E+3	58.001067338451903E+3
