#2018-10-10
#18:33
#Balayage par: Administrateur
#ScanTask Size: 9,2


#Y Axis.Position(Units)        	X Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
400E+0	600E+0	12.620447998046875E+3	-5.679641845703125E+3	-58.10005859375E+3	59.725633364375477E+3
425E+0	600E+0	12.54848583984375E+3	-5.1057239379882812E+3	-57.49531884765625E+3	59.069831500243563E+3
450E+0	600E+0	12.561255981445312E+3	-5.3314716796875E+3	-57.69832958984375E+3	59.290027434609736E+3
475E+0	600E+0	12.570573364257812E+3	-5.5976962280273437E+3	-57.9324189453125E+3	59.544261253073608E+3
500E+0	600E+0	12.5634267578125E+3	-5.8927052612304687E+3	-58.214515625E+3	59.845583802246867E+3
525E+0	600E+0	12.561076171875E+3	-5.8935194091796875E+3	-58.21149267578125E+3	59.842230722597524E+3
550E+0	600E+0	12.535594604492187E+3	-6.045005859375E+3	-58.37942138671875E+3	60.015335312461335E+3
575E+0	600E+0	12.514202758789062E+3	-6.1953275756835937E+3	-58.56624365234375E+3	60.207912954836218E+3
600E+0	600E+0	12.496064453125E+3	-6.3729155883789062E+3	-58.80624609375E+3	60.456106053110532E+3
400E+0	625E+0	12.491795166015625E+3	-6.3712459716796875E+3	-58.80917919921875E+3	60.457899969089747E+3
425E+0	625E+0	12.346609375E+3	-5.269175048828125E+3	-57.63422021484375E+3	59.176910762232634E+3
450E+0	625E+0	12.38904638671875E+3	-5.5616195678710937E+3	-57.88109912109375E+3	59.452857802341372E+3
475E+0	625E+0	12.422360473632812E+3	-5.8366724243164062E+3	-58.1208544921875E+3	59.719478006405814E+3
500E+0	625E+0	12.435643432617187E+3	-6.0717835693359375E+3	-58.33578955078125E+3	59.954787543375707E+3
525E+0	625E+0	12.432136108398437E+3	-6.2459862060546875E+3	-58.5124541015625E+3	60.143811789003943E+3
550E+0	625E+0	12.433785888671875E+3	-6.2424763793945312E+3	-58.5089619140625E+3	60.140390851295204E+3
575E+0	625E+0	12.438164672851562E+3	-6.3882737426757812E+3	-58.67859716796875E+3	60.321605846237799E+3
600E+0	625E+0	12.440602661132812E+3	-6.5327969970703125E+3	-58.862060546875E+3	60.516020014800917E+3
