#2018-10-10
#17:29
#Balayage par: Administrateur
#ScanTask Size: 17,17


#Y Axis.Position(Units)        	X Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
400E+0	400E+0	12.911326538085937E+3	-7.5148507080078125E+3	-59.73155859375E+3	61.571381252660198E+3
425E+0	400E+0	13.684781127929687E+3	-4.8719466857910156E+3	-56.70674267578125E+3	58.545839707678489E+3
450E+0	400E+0	13.652005004882812E+3	-4.6760213012695312E+3	-56.43648046875E+3	58.252203684616237E+3
475E+0	400E+0	13.538684326171875E+3	-4.8023424072265625E+3	-56.58274169921875E+3	58.377783802725738E+3
500E+0	400E+0	13.409604370117187E+3	-4.9187116088867187E+3	-56.70975244140625E+3	58.480831198563224E+3
525E+0	400E+0	13.28398681640625E+3	-5.0322667846679687E+3	-56.826841796875E+3	58.575407366979234E+3
550E+0	400E+0	13.139343505859375E+3	-5.1229036254882812E+3	-56.94716552734375E+3	58.667424240650471E+3
575E+0	400E+0	13.009549926757812E+3	-5.2039310913085937E+3	-57.083779296875E+3	58.778292888502932E+3
600E+0	400E+0	12.888533813476562E+3	-5.274968505859375E+3	-57.21877685546875E+3	58.889121539659405E+3
625E+0	400E+0	12.76711962890625E+3	-5.343319091796875E+3	-57.350853515625E+3	58.997213481693194E+3
650E+0	400E+0	12.658097900390625E+3	-5.3901227416992187E+3	-57.47044921875E+3	59.09427967466836E+3
675E+0	400E+0	12.583262451171875E+3	-5.4337979125976562E+3	-57.5752802734375E+3	59.184272510217561E+3
700E+0	400E+0	12.560970703125E+3	-5.460527587890625E+3	-57.6395986328125E+3	59.244570220698231E+3
725E+0	400E+0	12.546224731445312E+3	-5.4664829711914062E+3	-57.683419921875E+3	59.284631262289287E+3
750E+0	400E+0	12.551676635742187E+3	-5.4538840942382812E+3	-57.7052158203125E+3	59.305833150579267E+3
775E+0	400E+0	12.595411865234375E+3	-5.4173886108398437E+3	-57.688349609375E+3	59.295351116243131E+3
800E+0	400E+0	12.652944213867187E+3	-5.3530892333984375E+3	-57.63884521484375E+3	59.253603825588841E+3
400E+0	425E+0	12.57635205078125E+3	-5.4367593994140625E+3	-57.70028515625E+3	59.304692146653688E+3
425E+0	425E+0	13.6636357421875E+3	-4.5455931701660156E+3	-56.51709521484375E+3	58.322721531939198E+3
450E+0	425E+0	13.552610229492187E+3	-4.6952404174804687E+3	-56.6968193359375E+3	58.48288855801025E+3
475E+0	425E+0	13.452503662109375E+3	-4.827722412109375E+3	-56.83395947265625E+3	58.603550904989475E+3
500E+0	425E+0	13.339476440429687E+3	-4.9511741333007812E+3	-56.93957373046875E+3	58.690468983174345E+3
525E+0	425E+0	13.221941772460937E+3	-5.0567534790039062E+3	-57.0628134765625E+3	58.79248002465321E+3
550E+0	425E+0	13.091790649414062E+3	-5.1522550048828125E+3	-57.203365234375E+3	58.908116565093667E+3
575E+0	425E+0	12.975346069335937E+3	-5.238633056640625E+3	-57.35318115234375E+3	59.035504510766295E+3
600E+0	425E+0	12.871082275390625E+3	-5.3106435546875E+3	-57.48486181640625E+3	59.147083809251031E+3
625E+0	425E+0	12.75458740234375E+3	-5.376287841796875E+3	-57.61276220703125E+3	59.252129333784571E+3
650E+0	425E+0	12.649785400390625E+3	-5.4316561279296875E+3	-57.73067529296875E+3	59.349400010443503E+3
675E+0	425E+0	12.590999267578125E+3	-5.4755830688476562E+3	-57.83282763671875E+3	59.440321045597506E+3
700E+0	425E+0	12.57571826171875E+3	-5.4991222534179687E+3	-57.89876513671875E+3	59.503416552455856E+3
725E+0	425E+0	12.583016723632812E+3	-5.5005018920898437E+3	-57.937865234375E+3	59.543132632579793E+3
750E+0	425E+0	12.604335815429687E+3	-5.4809010620117187E+3	-57.95396142578125E+3	59.561495457548539E+3
775E+0	425E+0	12.665577392578125E+3	-5.4410438842773437E+3	-57.92818505859375E+3	59.545756131830305E+3
800E+0	425E+0	12.85064306640625E+3	-5.2724424438476562E+3	-57.74843505859375E+3	59.395454284621359E+3
